le
la
les
un
une
des
du
de
ce
cette
ces
cet
et
ou
mais
donc
or
ni
car
ça
ceci
cela
celui
celle
ceux
celles
on
je
tu
il
elle
nous
vous
ils
elles
moi
toi
lui
leur
y
en
par
pour
avec
sans
sous
sur
dans
vers
à
de
qui
que
quoi
où
dont
cependant
pendant
ainsi
